plate,mjd,fiber_id,fuv_flux_obs,fuv_flux_syn,dn4000_synth,extinction,H_alpha,EW_H_alpha,H_beta,OIII,NII
632,52071,598,1.3487,3.4645,1.1740,0.2800,1236.1880,43.6400,333.0360,120.0300,460.9340
633,52079,337,1.5333,2.8185,1.1960,0.1450,1398.6600,51.2680,364.8720,575.2280,239.7730
633,52079,630,1.1750,3.4012,1.1650,0.2690,956.4540,29.8000,272.1040,185.8690,292.0810
634,52164,637,0.9959,1.2855,1.2660,0.1650,661.6970,35.0340,175.5600,82.1850,179.1370
635,52145,459,0.3126,3.0560,1.2110,0.5690,466.5360,31.6330,135.2370,92.8140,128.8030
637,52174,632,0.8690,2.0260,1.2700,0.3730,635.4040,42.0330,148.2260,47.1690,213.4290
639,52146,335,0.6367,3.2808,1.2340,0.3790,682.7700,48.4930,185.4500,239.2550,152.5490
644,52149,483,0.8911,1.8429,1.2510,0.3620,1419.6990,61.1610,348.7700,183.8270,623.6230
644,52149,528,1.3057,2.9809,1.1830,0.4330,3064.0960,116.0620,725.0610,573.2030,948.9360
646,52523,42,0.2412,0.0494,1.9760,-0.2890,-999.0000,-999.0000,4.5860,5.9740,8.1870
648,52559,180,0.8388,2.3574,1.3260,0.3820,465.8030,25.8190,110.5400,41.3900,246.5520
649,52201,488,0.4388,3.3417,1.3000,0.2130,351.7120,21.0090,96.9920,29.8090,143.9310
651,52141,168,0.5652,2.9560,1.1840,0.4220,964.7740,51.8840,263.4440,239.0420,241.5090
651,52141,394,0.7239,2.8094,1.2310,0.2730,660.5660,40.7550,165.4220,63.1910,216.2400
652,52138,293,1.0995,1.3536,1.2880,0.3970,1510.1970,65.2120,304.5770,229.8060,453.6450
653,52145,534,0.6632,1.8829,1.2520,0.4910,1372.5560,43.7260,285.9780,61.0430,563.6100
654,52146,1,0.4823,0.2285,1.4180,0.6800,544.5260,27.8970,105.0020,30.3970,221.5140
655,52162,413,0.5458,3.7096,1.2260,0.2120,450.0370,33.9750,135.9010,94.2890,137.5910
655,52162,534,0.1948,0.3048,1.9060,-0.0250,-999.0000,-999.0000,-994.0000,6.6000,-999.0000
656,52148,241,1.3858,3.4412,1.1860,0.2390,1877.9550,87.1370,520.1610,465.6120,453.2930
656,52148,524,1.0071,1.7682,1.3220,0.2580,511.2000,27.7070,130.2910,54.9250,197.4840
656,52148,561,1.2117,1.8964,1.3100,0.5400,669.5710,33.0530,141.7600,61.8460,235.3600
