#lambda       q_CCM       q_CAL       q_HZ1       q_HZ2       q_HZ3       q_HZ4       q_HZ5       q_GD1       q_GD2       q_GD3
 1227.0     3.44864     2.93382     3.36571     3.14553     3.68688     6.30521     2.93382     6.31088     4.04641     3.37608
 1228.0     3.44367     2.93176     3.36286     3.14224     3.68155     6.29840     2.93176     6.30719     4.04870     3.37340
 1229.0     3.43871     2.92970     3.36000     3.13897     3.67623     6.29158     2.92970     6.30350     4.05098     3.37073
 1230.0     3.43375     2.92765     3.35714     3.13571     3.67095     6.28476     2.92765     6.29983     4.05325     3.36805
 1231.0     3.42881     2.92562     3.35429     3.13246     3.66568     6.27794     2.92562     6.29564     4.05428     3.36605
 1232.0     3.42388     2.92358     3.35143     3.12922     3.66044     6.27112     2.92358     6.28976     4.05117     3.36626
 1233.0     3.41896     2.92156     3.34857     3.12600     3.65521     6.26430     2.92156     6.28389     4.04806     3.36647
 1234.0     3.41405     2.91954     3.34571     3.12279     3.65001     6.25749     2.91954     6.27802     4.04496     3.36668
 1235.0     3.40915     2.91753     3.34286     3.11959     3.64483     6.25067     2.91753     6.27217     4.04186     3.36689
 1236.0     3.40426     2.91553     3.34000     3.11641     3.63967     6.24385     2.91553     6.26633     4.03877     3.36710
 1237.0     3.39937     2.91353     3.33714     3.11323     3.63453     6.23703     2.91353     6.26049     4.03568     3.36731
 1238.0     3.39450     2.91154     3.33429     3.11007     3.62942     6.23021     2.91155     6.25467     4.03260     3.36752
 1239.0     3.38963     2.90956     3.33143     3.10692     3.62432     6.22340     2.90956     6.24885     4.02952     3.36773
 1240.0     3.38478     2.90759     3.32857     3.10378     3.61925     6.21658     2.90759     6.24305     4.02645     3.36794
 1241.0     3.37993     2.90562     3.32571     3.10066     3.61420     6.20976     2.90562     6.23725     4.02338     3.36814
